ldsc	S-LDSC
pAN:Intron_UCSC_proxy_0_1000_ld_p0_p100_maf_lf_block	Intron-1k (low-freq pos-LD)
pAN:Promoter_UCSC_proxy_0_1000_ld_p0_p100_maf_lf_block	Promoter-1k (low-freq pos-LD)
pAN:Repressed_Hoffman_proxy_0_1000_ld_p0_p100_maf_lf_block	Repressed-1k (low-freq pos-LD)
pAN:SuperEnhancer_Hnisz_proxy_0_1000_ld_p0_p100_maf_lf_block	Super enhancer-1k (low-freq pos-LD)
pAN:TFBS_ENCODE_proxy_0_1000_ld_p0_p100_maf_lf_block	TFBS-1k (low-freq pos-LD)
pAN:Transcribed_Hoffman_proxy_0_1000_ld_p0_p100_maf_lf_block	Transcribed-1k (low-freq pos-LD)
pAN:Vahedi_Tcell_SE_proxy_0_1000_ld_p0_p100_maf_lf_block	Super enhancer (Vahedi)-1k (low-freq pos-LD)
pAN:Vahedi_Tcell_TE_proxy_0_1000_ld_p0_p100_maf_lf_block	Typical enhancer-1k (low-freq pos-LD)
pAN:proxy_0_100_ld_p0_p100_maf_common_block	Proximal 0-100bp (common pos-LD)
pAN:proxy_100_1000_ld_p0_p100_maf_common_block	Proximal 100bp-1kb (common pos-LD)
pAN:proxy_1000_10000_ld_p0_p100_maf_common_block	Proximal 1-10kb (common pos-LD)
pAN:exon_ld_p0_p100_maf_common_block	Same-exon (common pos-LD)
pAN:exonic_gene_ld_p0_p100_maf_common_block	Same-gene exonic (common pos-LD)
pAN:cS2G_promoter_ld_p0_p100_maf_common_block	Same-gene promoter (common pos-LD)
pAN:protein_domain_ld_p0_p100_maf_common_block	Same-protein-domain (common pos-LD)
pAN:gene_ld_p0_p100_maf_common_block	Same-gene (common pos-LD)
pAN:H3K27ac_Hnisz_proxy_0_100_ld_p0_p100_maf_common_block	H3K27ac-100 (common pos-LD)
pAN:H3K27ac_PGC2_proxy_0_100_ld_p0_p100_maf_common_block	H3K27ac (PGC2)-100 (common pos-LD)
pAN:H3K4me1_Trynka_proxy_0_100_ld_p0_p100_maf_common_block	H3K4me1-100 (common pos-LD)
pAN:Intron_UCSC_proxy_0_100_ld_p0_p100_maf_common_block	Intron-100 (common pos-LD)
pAN:Repressed_Hoffman_proxy_0_100_ld_p0_p100_maf_common_block	Repressed-100 (common pos-LD)
pAN:SuperEnhancer_Hnisz_proxy_0_100_ld_p0_p100_maf_common_block	Super enhancer-100 (common pos-LD)
pAN:Transcribed_Hoffman_proxy_0_100_ld_p0_p100_maf_common_block	Transcribed-100 (common pos-LD)
pAN:DGF_ENCODE_proxy_0_1000_ld_p0_p100_maf_common_block	DGF-1k (common pos-LD)
pAN:DHS_Trynka_proxy_0_1000_ld_p0_p100_maf_common_block	DHS-1k (common pos-LD)
pAN:DHS_peaks_Trynka_proxy_0_1000_ld_p0_p100_maf_common_block	DHS peaks-1k (common pos-LD)
pAN:Enhancer_Hoffman_proxy_0_1000_ld_p0_p100_maf_common_block	Enhancer-1k (common pos-LD)
pAN:FetalDHS_Trynka_proxy_0_1000_ld_p0_p100_maf_common_block	Fetal DHS-1k (common pos-LD)
pAN:H3K27ac_Hnisz_proxy_0_1000_ld_p0_p100_maf_common_block	H3K27ac-1k (common pos-LD)
pAN:H3K27ac_PGC2_proxy_0_1000_ld_p0_p100_maf_common_block	H3K27ac (PGC2)-1k (common pos-LD)
pAN:H3K4me1_Trynka_proxy_0_1000_ld_p0_p100_maf_common_block	H3K4me1-1k (common pos-LD)
pAN:H3K4me1_peaks_Trynka_proxy_0_1000_ld_p0_p100_maf_common_block	H3K4me1 peaks-1k (common pos-LD)
pAN:H3K4me3_Trynka_proxy_0_1000_ld_p0_p100_maf_common_block	H3K4me3-1k (common pos-LD)
pAN:H3K9ac_Trynka_proxy_0_1000_ld_p0_p100_maf_common_block	H3K9ac-1k (common pos-LD)
pAN:Intron_UCSC_proxy_0_1000_ld_p0_p100_maf_common_block	Intron-1k (common pos-LD)
pAN:Promoter_UCSC_proxy_0_1000_ld_p0_p100_maf_common_block	Promoter-1k (common pos-LD)
pAN:Repressed_Hoffman_proxy_0_1000_ld_p0_p100_maf_common_block	Repressed-1k (common pos-LD)
pAN:SuperEnhancer_Hnisz_proxy_0_1000_ld_p0_p100_maf_common_block	Super enhancer-1k (common pos-LD)
pAN:TFBS_ENCODE_proxy_0_1000_ld_p0_p100_maf_common_block	TFBS-1k (common pos-LD)
pAN:Transcribed_Hoffman_proxy_0_1000_ld_p0_p100_maf_common_block	Transcribed-1k (common pos-LD)
pAN:Vahedi_Tcell_SE_proxy_0_1000_ld_p0_p100_maf_common_block	Super enhancer (Vahedi)-1k (common pos-LD)
pAN:Vahedi_Tcell_TE_proxy_0_1000_ld_p0_p100_maf_common_block	Typical enhancer-1k (common pos-LD)
